Time,Temperature,Pressure,Fuel,Altitude,Velocity,Status
0,25,101,100,0,0,NORMAL
1,27,101,99,108,22,NORMAL
2,28,101,98,204,45,NORMAL
3,30,102,97,322,70,NORMAL
4,31,101,96,442,89,NORMAL
5,33,102,95,534,109,NORMAL
6,35,102,94,664,134,NORMAL
7,35,103,93,763,159,NORMAL
8,37,102,92,860,184,NORMAL
9,39,101,91,983,204,NORMAL
10,40,102,90,1085,224,NORMAL
11,40,101,89,1208,242,NORMAL
12,42,100,88,1302,261,NORMAL
13,42,100,87,1427,279,NORMAL
14,42,99,86,1527,299,NORMAL
15,43,99,85,1639,317,NORMAL
16,43,100,84,1764,335,NORMAL
17,44,101,83,1894,355,NORMAL
18,46,102,82,1989,375,NORMAL
19,46,101,81,2088,397,NORMAL
